0,1,tuple_id_1,tuple_id_2
,,A904880,A944871
,,A904887,A930262
,,A904887,A947637
,,A904889,A955742
,,A904889,A974248
,,A904891,A921400
,,A904891,A950476
,,A904891,A981206
,,A904891,A989032
,,A904891,A996536
,,A904893,A940190
,,A904894,A942831
,,A904894,A974535
,,A904896,A935840
,,A904896,A938480
,,A904896,A994719
,,A904897,A919231
,,A904897,A972354
,,A904897,A984145
,,A904899,A908734
,,A904899,A910705
,,A904899,A943606
,,A904900,A971536
,,A904902,A934468
,,A904902,A966673
,,A904902,A974047
,,A904902,A981691
,,A904902,A995549
,,A904903,A917583
,,A904903,A928711
,,A904903,A939669
,,A904903,A942747
,,A904903,A977769
,,A904903,A986190
,,A904905,A923990
,,A904905,A974473
,,A904907,A991492
,,A904907,A992688
,,A904907,A998406
,,A904909,A964392
,,A904911,A949241
,,A904911,A951587
,,A904912,A952111
,,A904912,A960133
,,A904913,A986948
,,A904914,A942206
,,A904914,A963347
,,A904916,A947963
,,A904917,A997699
,,A904918,A989941
,,A904919,A908513
,,A904919,A943626
,,A904919,A988525
,,A904920,A947530
,,A904920,A951856
,,A904920,A952796
,,A904920,A992854
,,A904923,A958124
,,A904923,A989500
,,A904923,A990175
,,A904924,A930880
,,A904924,A963413
,,A904925,A984436
,,A904925,A998197
,,A904926,A919298
,,A904926,A934426
,,A904926,A979136
,,A904927,A926077
,,A904927,A932895
,,A904931,A985676
,,A904933,A934065
,,A904933,A952323
,,A904933,A986034
,,A904937,A925520
,,A904937,A929840
,,A904937,A944986
,,A904942,A907321
,,A904942,A960891
,,A904943,A995665
,,A904944,A994597
,,A904945,A922900
,,A904945,A924205
,,A904945,A936612
,,A904945,A971994
,,A904947,A929426
,,A904947,A988022
,,A904948,A920715
,,A904949,A958001
,,A904949,A959363
,,A904953,A913791
,,A904953,A972702
,,A904955,A979292
,,A904959,A914268
,,A904959,A958305
,,A904959,A988441
,,A904960,A920358
,,A904960,A939164
,,A904961,A916597
,,A904961,A931453
,,A904961,A931821
,,A904961,A948378
,,A904961,A953986
,,A904961,A989056
,,A904963,A931365
,,A904963,A933714
,,A904963,A941678
,,A904963,A982408
,,A904963,A989004
,,A904964,A968088
,,A904964,A972838
,,A904964,A993196
,,A904968,A918466
,,A904968,A933334
,,A904968,A964306
,,A904968,A965591
,,A904969,A962137
,,A904969,A971427
,,A904969,A992590
,,A904969,A997456
,,A904972,A928743
,,A904972,A954069
,,A904975,A967096
,,A904975,A992608
,,A904976,A910170
,,A904976,A945343
,,A904976,A989182
,,A904978,A933306
,,A904978,A933895
,,A904978,A938998
,,A904978,A955354
,,A904978,A960358
,,A904978,A980104
,,A904980,A940328
,,A904982,A951166
,,A904984,A927856
,,A904985,A925541
,,A904988,A935586
,,A904988,A936273
,,A904988,A955338
,,A904988,A989180
,,A904994,A914984
,,A904994,A959791
,,A904994,A968782
,,A904994,A972248
,,A904995,A910149
,,A904995,A955659
,,A904995,A991483
,,A904997,A933222
,,A904997,A946356
,,A904997,A950371
,,A904998,A921508
,,A904999,A933876
,,A904999,A938431
,,A904999,A947064
,,A905000,A939596
,,A905000,A951514
,,A905001,A925108
,,A905003,A962849
,,A905004,A956449
,,A905004,A966009
,,A905004,A968855
,,A905004,A977387
,,A905004,A978324
,,A905006,A914618
,,A905006,A946200
,,A905006,A964663
,,A905006,A971789
,,A905007,A920667
,,A905007,A931340
,,A905007,A972455
,,A905008,A916282
,,A905008,A916529
,,A905008,A931785
,,A905008,A939136
,,A905008,A944801
,,A905008,A958077
,,A905008,A958819
,,A905008,A958952
,,A905008,A972525
,,A905010,A905320
,,A905010,A920464
,,A905010,A936202
,,A905010,A943916
,,A905013,A957680
,,A905017,A925036
,,A905017,A929090
,,A905017,A972445
,,A905017,A989077
,,A905019,A940700
,,A905020,A911406
,,A905020,A921259
,,A905020,A938527
,,A905020,A951035
,,A905020,A979345
,,A905021,A916399
,,A905021,A959318
,,A905021,A991449
,,A905022,A936497
,,A905022,A948323
,,A905022,A960600
,,A905022,A991329
,,A905023,A907213
,,A905023,A945244
,,A905023,A964408
,,A905023,A994051
,,A905024,A946970
,,A905027,A930881
,,A905027,A958826
,,A905033,A921798
,,A905033,A993840
,,A905033,A996589
,,A905034,A909136
,,A905034,A961611
,,A905034,A991725
,,A905035,A908500
,,A905035,A970354
,,A905036,A924612
,,A905036,A964725
,,A905036,A971139
,,A905036,A977080
,,A905036,A985836
,,A905039,A914229
,,A905040,A906108
,,A905040,A915071
,,A905040,A938755
,,A905040,A948305
,,A905040,A986294
,,A905042,A994366
,,A905045,A908920
,,A905045,A976636
,,A905045,A988793
,,A905048,A906399
,,A905048,A917015
,,A905048,A929274
,,A905048,A933805
,,A905048,A987851
,,A905049,A951880
,,A905050,A921480
,,A905050,A949571
,,A905051,A940972
,,A905051,A941303
,,A905053,A978891
,,A905054,A913646
,,A905054,A937701
,,A905054,A948571
,,A905054,A952955
,,A905055,A961371
,,A905059,A917543
,,A905059,A957527
,,A905059,A970716
,,A905062,A962015
,,A905062,A986446
,,A905063,A912173
,,A905063,A984736
,,A905064,A927270
,,A905066,A910581
,,A905066,A940627
,,A905066,A966329
,,A905068,A992736
,,A905069,A909852
,,A905070,A993887
,,A905072,A964486
,,A905072,A967057
,,A905072,A983918
,,A905072,A998573
,,A905074,A936760
,,A905074,A941327
,,A905074,A971324
,,A905074,A988583
,,A905074,A988900
,,A905075,A915085
,,A905076,A922532
,,A905076,A988202
,,A905077,A971397
,,A905077,A981998
,,A905082,A910879
,,A905082,A924630
,,A905082,A958364
,,A905082,A979686
,,A905083,A951637
,,A905083,A954839
,,A905083,A968758
,,A905083,A969954
,,A905083,A981912
,,A905083,A983103
,,A905086,A932100
,,A905086,A932664
,,A905087,A909966
,,A905087,A914879
,,A905087,A927263
,,A905087,A954649
,,A905088,A952928
,,A905088,A992307
,,A905090,A943645
,,A905091,A907387
,,A905091,A938319
,,A905091,A992293
,,A905094,A913683
,,A905094,A917510
,,A905094,A925054
,,A905094,A936537
,,A905094,A948176
,,A905094,A978155
,,A905095,A912691
,,A905095,A919008
,,A905095,A922755
,,A905095,A960887
,,A905095,A981892
,,A905097,A918212
,,A905097,A931693
,,A905097,A949253
,,A905097,A954973
,,A905097,A965602
,,A905097,A973519
,,A905097,A989538
,,A905097,A996816
,,A905098,A913321
,,A905098,A923474
,,A905098,A929317
,,A905098,A939093
,,A905101,A936424
,,A905102,A938218
,,A905102,A958530
,,A905102,A987777
,,A905102,A991198
,,A905106,A934607
,,A905106,A989144
,,A905109,A935453
,,A905109,A967662
,,A905109,A968061
,,A905111,A934042
,,A905111,A978602
,,A905111,A987793
,,A905111,A989735
,,A905112,A967405
,,A905114,A946808
,,A905114,A970644
,,A905114,A998453
,,A905115,A935150
,,A905115,A950007
,,A905115,A955008
,,A905116,A947354
,,A905119,A918409
,,A905119,A936503
,,A905119,A938322
,,A905119,A975371
,,A905119,A979960
,,A905119,A984305
,,A905119,A994739
,,A905121,A991047
,,A905123,A909022
,,A905123,A991393
,,A905128,A927900
,,A905128,A928411
,,A905128,A951751
,,A905128,A994517
,,A905128,A994531
,,A905130,A908087
,,A905130,A921483
,,A905130,A935930
,,A905130,A961994
,,A905130,A992156
,,A905132,A959355
,,A905132,A961802
,,A905132,A987704
,,A905133,A927055
,,A905133,A933378
,,A905133,A983490
,,A905134,A916304
,,A905134,A950368
,,A905134,A958476
,,A905134,A993584
,,A905135,A955246
,,A905135,A974721
,,A905138,A983047
,,A905139,A907072
,,A905139,A916700
,,A905139,A957229
,,A905139,A968548
,,A905139,A981190
,,A905139,A993444
,,A905141,A953216
,,A905141,A983372
,,A905141,A996606
,,A905142,A954088
,,A905143,A910814
,,A905143,A912944
,,A905143,A932210
,,A905143,A936560
,,A905143,A937560
,,A905143,A961185
,,A905143,A969361
,,A905145,A920156
,,A905145,A921190
,,A905145,A928201
,,A905145,A954081
,,A905145,A960759
,,A905145,A998582
,,A905147,A952200
,,A905147,A964845
,,A905150,A908830
,,A905150,A915683
,,A905150,A927935
,,A905150,A989124
,,A905154,A929528
,,A905154,A940864
,,A905158,A954348
,,A905159,A908849
,,A905159,A913689
,,A905159,A915798
,,A905159,A924034
,,A905159,A933813
,,A905159,A936444
,,A905161,A906081
,,A905161,A920680
,,A905161,A927887
,,A905161,A990241
,,A905162,A912605
,,A905162,A933417
,,A905162,A959263
,,A905162,A996862
,,A905163,A923558
,,A905163,A953947
,,A905163,A963315
,,A905163,A994356
,,A905164,A934303
,,A905164,A943066
,,A905164,A978341
,,A905164,A980466
,,A905165,A921234
,,A905165,A938967
,,A905165,A961973
,,A905165,A969053
,,A905167,A907343
,,A905167,A918670
,,A905167,A970127
,,A905168,A908709
,,A905168,A913730
,,A905168,A933011
,,A905168,A976158
,,A905168,A996813
,,A905169,A917745
,,A905169,A944686
,,A905169,A980290
,,A905175,A937288
,,A905175,A943087
,,A905175,A959239
,,A905178,A910860
,,A905178,A923158
,,A905178,A938898
,,A905178,A943849
,,A905179,A920756
,,A905179,A931822
,,A905179,A961114
,,A905179,A966452
,,A905179,A979836
,,A905179,A988494
,,A905182,A914971
,,A905182,A950888
,,A905183,A994678
,,A905185,A920035
,,A905185,A980042
,,A905185,A987019
,,A905186,A935440
,,A905186,A968864
,,A905186,A984454
,,A905187,A932550
,,A905189,A925471
,,A905189,A955426
,,A905190,A908674
,,A905190,A930793
,,A905190,A955864
,,A905190,A978637
,,A905191,A937548
,,A905192,A925833
,,A905192,A940639
,,A905192,A941603
,,A905192,A960176
,,A905192,A960996
,,A905193,A962456
,,A905196,A959699
,,A905197,A950957
,,A905197,A968999
,,A905197,A987753
,,A905202,A977277
,,A905203,A915500
,,A905207,A926636
,,A905211,A957937
,,A905211,A970019
,,A905216,A950874
,,A905218,A936945
,,A905219,A918070
,,A905219,A935237
,,A905219,A967566
,,A905219,A973487
,,A905219,A990288
,,A905222,A930855
,,A905222,A931483
,,A905223,A982030
,,A905224,A928471
,,A905224,A943832
,,A905224,A964621
,,A905224,A968068
,,A905225,A906746
,,A905225,A944876
,,A905225,A981422
,,A905226,A961015
,,A905226,A972836
,,A905227,A958788
,,A905229,A928274
,,A905230,A920871
,,A905230,A950102
,,A905231,A916057
,,A905231,A945521
,,A905235,A964732
,,A905237,A909369
,,A905238,A906716
,,A905238,A953800
,,A905238,A956808
,,A905240,A926603
,,A905241,A930420
,,A905241,A930470
,,A905241,A934565
,,A905241,A940726
,,A905241,A941751
,,A905241,A948006
,,A905241,A977607
,,A905241,A994787
,,A905242,A919493
,,A905242,A925693
,,A905242,A940425
,,A905242,A956488
,,A905242,A973964
,,A905243,A936798
,,A905244,A916923
,,A905244,A921679
,,A905244,A944382
,,A905244,A981477
,,A905246,A905921
,,A905246,A921086
,,A905246,A924812
,,A905246,A966430
,,A905246,A985771
,,A905247,A908000
,,A905247,A913596
,,A905247,A917713
,,A905249,A909071
,,A905249,A932048
,,A905249,A956353
,,A905249,A965551
,,A905249,A982434
,,A905250,A915360
,,A905251,A934967
,,A905251,A936251
,,A905251,A954710
,,A905251,A986540
,,A905251,A991177
,,A905253,A931120
,,A905253,A976091
,,A905253,A992448
,,A905254,A945643
,,A905254,A972285
,,A905255,A976238
,,A905255,A981566
,,A905256,A919121
,,A905256,A963985
,,A905256,A969201
,,A905256,A976449
,,A905257,A919132
,,A905257,A970920
,,A905257,A978525
,,A905258,A914227
,,A905258,A924607
,,A905258,A973779
,,A905258,A988099
,,A905258,A989793
,,A905263,A931445
,,A905263,A945186
,,A905263,A949900
,,A905263,A954487
,,A905263,A964207
,,A905263,A971114
,,A905264,A985549
,,A905265,A929867
,,A905265,A933172
,,A905265,A950139
,,A905265,A979889
,,A905269,A915854
,,A905269,A918717
,,A905269,A918862
,,A905269,A943075
,,A905269,A948815
,,A905269,A955418
,,A905269,A965210
,,A905269,A968994
,,A905269,A974308
,,A905270,A969118
,,A905270,A969760
,,A905270,A994605
,,A905272,A959109
,,A905273,A933385
,,A905273,A956267
,,A905273,A977898
,,A905276,A906837
,,A905276,A919980
,,A905276,A946646
,,A905277,A982951
,,A905277,A985255
,,A905280,A925719
,,A905281,A968911
,,A905281,A972296
,,A905283,A967805
,,A905284,A942788
,,A905284,A963801
,,A905285,A908368
,,A905285,A922890
,,A905286,A912511
,,A905286,A916719
,,A905286,A917975
,,A905286,A964988
,,A905286,A980006
,,A905286,A991891
,,A905288,A953784
,,A905288,A968482
,,A905290,A920345
,,A905290,A964512
,,A905290,A989911
,,A905295,A937642
,,A905295,A964948
,,A905296,A939636
,,A905296,A953029
,,A905298,A973916
,,A905300,A942122
,,A905300,A982948
,,A905300,A990900
,,A905303,A981649
,,A905304,A956301
,,A905305,A917073
,,A905306,A937057
,,A905307,A984273
,,A905308,A938658
,,A905308,A945272
,,A905308,A957259
,,A905308,A965795
,,A905308,A992365
,,A905310,A950621
,,A905311,A913877
,,A905311,A914953
,,A905311,A920087
,,A905311,A930683
,,A905311,A992765
,,A905312,A908771
,,A905312,A927855
,,A905312,A997837
,,A905315,A906860
,,A905316,A937267
,,A905316,A954913
,,A905317,A914747
,,A905317,A927978
,,A905317,A990478
,,A905319,A925948
,,A905319,A934993
,,A905319,A947575
,,A905319,A987322
,,A905320,A920464
,,A905320,A936202
,,A905320,A943916
,,A905321,A922352
,,A905321,A957091
,,A905321,A972644
,,A905321,A973777
,,A905321,A978185
,,A905321,A995614
,,A905322,A905968
,,A905322,A915470
,,A905322,A960735
,,A905322,A987024
,,A905323,A919022
,,A905323,A927175
,,A905323,A954651
,,A905323,A985821
,,A905323,A986376
,,A905323,A992457
,,A905324,A962098
,,A905326,A951464
,,A905326,A962433
,,A905326,A981560
,,A905329,A920356
,,A905330,A971125
,,A905331,A936625
,,A905332,A934882
,,A905332,A980726
,,A905334,A947830
,,A905334,A956986
,,A905334,A970085
,,A905334,A991043
,,A905335,A925009
,,A905335,A931364
,,A905335,A935132
,,A905335,A971442
,,A905336,A967418
,,A905338,A911538
,,A905338,A930401
,,A905338,A947146
,,A905339,A984970
,,A905343,A963994
,,A905343,A968739
,,A905344,A936695
,,A905344,A977590
,,A905344,A981503
,,A905344,A988498
,,A905344,A993717
,,A905346,A960125
,,A905346,A965594
,,A905346,A981861
,,A905346,A983890
,,A905349,A926375
,,A905349,A955977
,,A905349,A978830
,,A905349,A988246
,,A905351,A942609
,,A905352,A935942
,,A905353,A978173
,,A905355,A936761
,,A905359,A970795
,,A905360,A912336
,,A905360,A973369
,,A905362,A941057
,,A905367,A949526
,,A905368,A917386
,,A905368,A933183
,,A905368,A994603
,,A905369,A930508
,,A905371,A923115
,,A905371,A928780
,,A905371,A972329
,,A905373,A994855
,,A905375,A957703
,,A905376,A977023
,,A905379,A991547
,,A905380,A908503
,,A905380,A926661
,,A905380,A930941
,,A905380,A947117
,,A905381,A917333
,,A905385,A909915
,,A905385,A959249
,,A905385,A975802
,,A905385,A983571
,,A905385,A997202
,,A905386,A926756
,,A905386,A945929
,,A905386,A948755
,,A905386,A970754
,,A905387,A922927
,,A905387,A964424
,,A905387,A982155
,,A905388,A913578
,,A905388,A916388
,,A905388,A945281
,,A905390,A977895
,,A905391,A965786
,,A905391,A979545
,,A905391,A984314
,,A905391,A987675
,,A905394,A908076
,,A905394,A934203
,,A905394,A983627
,,A905395,A987883
,,A905401,A910546
,,A905401,A912021
,,A905401,A927720
,,A905401,A940543
,,A905401,A966996
,,A905401,A977095
,,A905402,A916911
,,A905402,A930889
,,A905402,A976294
,,A905405,A912245
,,A905406,A970083
,,A905406,A994879
,,A905407,A912223
,,A905407,A952661
,,A905409,A991991
,,A905409,A992776
,,A905411,A967092
,,A905411,A982441
,,A905412,A954924
,,A905412,A973709
,,A905412,A979943
,,A905413,A908091
,,A905413,A939003
,,A905413,A959083
,,A905413,A964934
,,A905413,A980527
,,A905414,A948582
,,A905414,A962630
,,A905414,A975965
,,A905415,A959851
,,A905417,A909776
,,A905417,A927853
,,A905417,A929410
,,A905417,A951200
,,A905418,A939251
,,A905418,A947874
,,A905418,A991641
,,A905419,A918241
,,A905420,A970500
,,A905420,A986575
,,A905420,A989226
,,A905421,A906801
,,A905421,A963025
,,A905422,A982185
,,A905424,A918654
,,A905424,A949739
,,A905424,A953812
,,A905424,A978579
,,A905424,A985894
,,A905425,A974260
,,A905425,A984087
,,A905425,A994921
,,A905427,A972728
,,A905427,A978916
,,A905428,A913072
,,A905428,A920840
,,A905428,A926459
,,A905428,A974181
,,A905428,A978829
,,A905428,A995642
,,A905429,A916220
,,A905429,A963379
,,A905431,A923050
,,A905431,A937218
,,A905431,A942070
,,A905431,A977845
,,A905432,A935631
,,A905434,A949495
,,A905438,A933232
,,A905438,A948590
,,A905441,A929576
,,A905441,A940093
,,A905441,A940348
,,A905441,A964042
,,A905441,A976047
,,A905441,A989520
,,A905441,A990800
,,A905443,A934358
,,A905443,A953314
,,A905443,A978285
,,A905444,A930193
,,A905444,A952620
,,A905444,A960069
,,A905444,A964467
,,A905444,A978376
,,A905444,A993687
,,A905445,A920605
,,A905448,A933386
,,A905448,A959051
,,A905448,A960804
,,A905450,A921675
,,A905450,A935603
,,A905450,A985985
,,A905450,A992678
,,A905452,A910893
,,A905452,A929295
,,A905452,A934745
,,A905452,A958031
,,A905452,A961958
,,A905452,A968377
,,A905452,A979099
,,A905453,A905541
,,A905454,A939744
,,A905457,A905767
,,A905457,A978653
,,A905458,A927781
,,A905458,A949806
,,A905458,A962164
,,A905458,A967315
,,A905463,A949983
,,A905463,A953450
,,A905465,A965968
,,A905465,A971478
,,A905466,A909465
,,A905466,A955312
,,A905468,A995590
,,A905469,A908479
,,A905469,A965917
,,A905470,A927817
,,A905470,A974332
,,A905470,A975383
,,A905471,A910349
,,A905471,A941098
,,A905472,A987871
,,A905474,A921465
,,A905477,A929693
,,A905477,A930192
,,A905477,A970194
,,A905477,A971964
,,A905478,A957408
,,A905480,A924946
,,A905480,A930025
,,A905480,A998842
,,A905486,A936952
,,A905486,A944875
,,A905486,A984656
,,A905488,A906293
,,A905488,A940171
,,A905488,A946059
,,A905491,A925078
,,A905491,A931470
,,A905491,A971277
,,A905492,A938168
,,A905493,A913638
,,A905493,A913719
,,A905493,A930221
,,A905493,A931176
,,A905493,A946422
,,A905493,A976972
,,A905495,A922713
,,A905495,A943623
,,A905495,A961721
,,A905495,A996572
,,A905496,A906206
,,A905496,A993498
,,A905498,A961962
,,A905499,A946520
,,A905499,A960727
,,A905499,A982687
,,A905499,A993927
,,A905500,A908074
,,A905500,A949340
,,A905500,A971723
,,A905501,A907862
,,A905501,A972143
,,A905501,A981767
,,A905504,A936204
,,A905506,A932331
,,A905506,A987541
,,A905507,A929201
,,A905507,A939355
,,A905507,A946750
,,A905507,A982487
,,A905508,A983291
,,A905513,A915692
,,A905513,A995555
,,A905513,A996654
,,A905517,A923123
,,A905517,A936697
,,A905517,A989008
,,A905521,A962017
,,A905521,A996370
,,A905523,A906809
,,A905523,A926477
,,A905523,A996098
,,A905524,A957934
,,A905525,A979322
,,A905526,A920732
,,A905526,A926894
,,A905526,A928371
,,A905526,A949754
,,A905526,A965261
,,A905526,A968262
,,A905526,A981053
,,A905527,A906389
,,A905533,A916653
,,A905533,A921423
,,A905533,A922049
,,A905533,A937376
,,A905533,A946730
,,A905533,A971510
,,A905534,A917991
,,A905534,A943265
,,A905534,A943997
,,A905534,A944948
,,A905535,A980903
,,A905535,A987821
,,A905536,A979924
,,A905536,A994813
,,A905537,A908477
,,A905537,A917112
,,A905543,A913308
,,A905543,A922901
,,A905543,A982998
,,A905543,A993827
,,A905543,A994938
,,A905544,A989762
,,A905545,A910201
,,A905545,A921807
,,A905545,A956595
,,A905546,A913195
,,A905546,A955250
,,A905546,A955269
,,A905546,A969898
,,A905546,A989557
,,A905547,A912900
,,A905547,A980501
,,A905548,A938546
,,A905548,A962915
,,A905549,A918241
,,A905553,A919379
,,A905553,A946495
,,A905554,A956648
,,A905554,A959428
,,A905554,A988974
,,A905555,A914237
,,A905555,A923521
,,A905555,A992072
,,A905556,A934831
,,A905556,A941793
,,A905556,A944988
,,A905556,A967250
,,A905556,A974860
,,A905558,A968954
,,A905558,A988442
,,A905560,A914370
,,A905560,A940247
,,A905560,A974480
,,A905560,A996577
,,A905561,A918592
,,A905561,A924928
,,A905561,A931761
,,A905561,A956291
,,A905561,A992431
,,A905562,A915843
,,A905562,A937189
,,A905562,A989752
,,A905567,A933814
,,A905568,A910019
,,A905568,A983295
,,A905571,A919946
,,A905571,A925272
,,A905571,A945758
,,A905571,A967173
,,A905571,A994285
,,A905572,A908262
,,A905572,A961373
,,A905572,A979500
,,A905573,A932295
,,A905573,A943318
,,A905573,A949285
,,A905573,A959329
,,A905573,A962324
,,A905573,A963132
,,A905573,A970609
,,A905574,A920346
,,A905574,A921655
,,A905574,A929091
,,A905574,A932519
,,A905574,A965624
,,A905575,A977044
,,A905577,A915357
,,A905577,A927430
,,A905577,A930856
,,A905577,A970439
,,A905579,A943412
,,A905579,A962054
,,A905579,A997661
,,A905581,A966805
,,A905582,A925517
,,A905582,A931820
,,A905582,A937421
,,A905583,A906983
,,A905583,A937194
,,A905583,A939647
,,A905583,A941713
,,A905584,A908328
,,A905586,A989839
,,A905587,A950432
,,A905587,A955769
,,A905587,A970911
,,A905588,A933809
,,A905589,A905643
,,A905589,A907721
,,A905589,A913526
,,A905589,A950220
,,A905589,A985156
,,A905589,A988898
,,A905590,A949510
,,A905596,A953765
,,A905599,A944350
,,A905599,A965687
,,A905599,A965825
,,A905599,A970427
,,A905599,A998765
,,A905600,A970890
,,A905601,A972226
,,A905601,A986685
,,A905601,A989636
,,A905602,A995639
,,A905603,A988672
,,A905605,A960269
,,A905607,A910985
,,A905609,A905653
,,A905609,A921261
,,A905609,A929546
,,A905609,A934921
,,A905609,A968541
,,A905614,A907529
,,A905614,A910196
,,A905614,A911562
,,A905614,A938197
,,A905615,A936423
,,A905615,A947760
,,A905616,A946567
,,A905617,A944541
,,A905617,A994914
,,A905618,A940567
,,A905618,A960220
,,A905620,A967952
,,A905622,A910428
,,A905622,A918567
,,A905622,A950785
,,A905625,A954583
,,A905627,A920914
,,A905627,A961475
,,A905630,A906176
,,A905630,A913061
,,A905630,A937773
,,A905630,A969370
,,A905633,A956223
,,A905633,A976548
,,A905633,A993547
,,A905635,A933423
,,A905635,A973690
,,A905637,A946008
,,A905639,A922569
,,A905639,A933565
,,A905639,A946517
,,A905639,A978688
