0,1
A905991,A940158
A905991,A992253
A905995,A905995
A906004,A906004
A906004,A994887
A906012,A906012
A906012,A945411
A906016,A906016
A906016,A982097
A906021,A906021
A906021,A909513
A906021,A917045
A906021,A918330
A906021,A919048
A906021,A970884
A906023,A906023
A906023,A952217
A906023,A972909
A906024,A906024
A906024,A919240
A906024,A947427
A906024,A955846
A906024,A971793
A906028,A906028
A906028,A991007
A906028,A995843
A906033,A906033
A906035,A906035
A906035,A931682
A906035,A949356
A906036,A906036
A906036,A986354
A906041,A906041
A906041,A928441
A906041,A965525
A906041,A976427
A906041,A979238
A906046,A906046
A906046,A948424
A906050,A904812
A906050,A906050
A906050,A918015
A906050,A945908
A906050,A964981
A906051,A906051
A906051,A963274
A906051,A976620
A906051,A993803
A906051,A995453
A906052,A906052
A906052,A922498
A906055,A906055
A906055,A946319
A906055,A968047
A906056,A906056
A906057,A906057
A906062,A906062
A906065,A906065
A906065,A910630
A906069,A906069
A906069,A949762
A906071,A904968
A906071,A906071
A906071,A918466
A906071,A933334
A906071,A934959
A906071,A974979
A906074,A906074
A906074,A970437
A906075,A906075
A906075,A911627
A906075,A913100
A906075,A922261
A906075,A965474
A906075,A968104
A906076,A906076
A906076,A939111
A906076,A958844
A906076,A960255
A906076,A970767
A906078,A906078
A906079,A906079
A906079,A971482
A906084,A906084
A906084,A944384
A906084,A956052
A906084,A976376
A906095,A906095
A906095,A913946
A906095,A943596
A906095,A954508
A906095,A977686
A906095,A989824
A906099,A906099
A906099,A921000
A906099,A961948
A906099,A962666
A906102,A906102
A906102,A924692
A906104,A906104
A906104,A981322
A906104,A998574
A906104,A998826
A906106,A906106
A906107,A906107
A906117,A906117
A906117,A996926
A906119,A906119
A906119,A923459
A906119,A935479
A906119,A946882
A906119,A956871
A906119,A985149
A906119,A985669
A906127,A906127
A906127,A965326
A906133,A906133
A906134,A906134
A906134,A998902
A906136,A906136
A906136,A947379
A906137,A906137
A906137,A910342
A906137,A940056
A906137,A989151
A906138,A906138
A906138,A906537
A906138,A907287
A906138,A911885
A906138,A923399
A906138,A925821
A906138,A933539
A906138,A935610
A906138,A951490
A906138,A972678
A906138,A973155
A906139,A906139
A906139,A911501
A906139,A920003
A906139,A970075
A906139,A974747
A906143,A906143
A906143,A949252
A906143,A972587
A906143,A993398
A906143,A994989
A906146,A906146
A906146,A931444
A906146,A954434
A906146,A971619
A906146,A973846
A906149,A906149
A906149,A983534
A906152,A906152
A906152,A919398
A906152,A928460
A906152,A933191
A906152,A981526
A906152,A985166
A906161,A906161
A906164,A906164
A906164,A991616
A906168,A906168
A906168,A911782
A906168,A921720
A906168,A924061
A906168,A953597
A906172,A906172
A906172,A907237
A906180,A906180
A906180,A910444
A906180,A912658
A906180,A918417
A906180,A967359
A906180,A993613
A906182,A906182
A906182,A931159
A906182,A949214
A906182,A951109
A906192,A906192
A906192,A975781
A906197,A906197
A906197,A915341
A906197,A931728
A906201,A906201
A906201,A946363
A906205,A906205
A906209,A906209
A906210,A906210
A906210,A909426
A906210,A922545
A906210,A938211
A906210,A956073
A906210,A974903
A906212,A906212
A906212,A955347
A906213,A906213
A906213,A941936
A906216,A906216
A906216,A928823
A906216,A931694
A906216,A932341
A906216,A938333
A906216,A951434
A906216,A985568
A906220,A906220
A906220,A910610
A906220,A940475
A906220,A968409
A906223,A906223
A906223,A907606
A906223,A920665
A906223,A930035
A906223,A938472
A906223,A949414
A906223,A956997
A906223,A972681
A906224,A906224
A906226,A906226
A906226,A998591
A906231,A906231
A906231,A932457
A906231,A960519
A906231,A986820
A906234,A906234
A906234,A909383
A906234,A957446
A906235,A906235
A906235,A922688
A906235,A928925
A906235,A997223
A906238,A906238
A906260,A905277
A906260,A906260
A906260,A982951
A906260,A985255
A906263,A906263
A906263,A908010
A906263,A956410
A906263,A987227
A906269,A906269
A906269,A965265
A906273,A906273
A906273,A909101
A906273,A940207
A906273,A958918
A906273,A968478
A906273,A994109
A906276,A906276
A906276,A959827
A906276,A961902
A906276,A980635
A906279,A906279
A906279,A934590
A906288,A906288
A906290,A906290
A906292,A905677
A906292,A906292
A906292,A910319
A906292,A948198
A906292,A987218
A906292,A992000
A906295,A906295
A906295,A926916
A906295,A932196
A906295,A973041
A906295,A984661
A906295,A987586
A906306,A906306
A906306,A948964
A906307,A906307
A906319,A906319
A906319,A907687
A906319,A951574
A906319,A952354
A906319,A974097
A906319,A980561
A906319,A986154
A906325,A906325
A906325,A933720
A906325,A936660
A906325,A967998
A906327,A906327
A906327,A985561
A906338,A906338
A906338,A906634
A906339,A906339
A906340,A906340
A906340,A958867
A906346,A906346
A906346,A990397
A906348,A906348
A906348,A925875
A906352,A906352
A906352,A911430
A906352,A916561
A906352,A932617
A906352,A944885
A906352,A995850
A906353,A906353
A906353,A950905
A906353,A968789
A906353,A975242
A906358,A906358
A906358,A981828
A906363,A906363
A906363,A924290
A906363,A952299
A906364,A906364
A906364,A979651
A906369,A906369
A906373,A906373
A906373,A931994
A906373,A969018
A906379,A906379
A906383,A906383
A906383,A910783
A906383,A919543
A906386,A906386
A906386,A924277
A906386,A930341
A906396,A906396
A906396,A922299
A906396,A925298
A906396,A932713
A906396,A962121
A906396,A992953
A906407,A906407
A906407,A931422
A906407,A989209
A906407,A993342
A906408,A906408
A906411,A906411
A906414,A906414
A906415,A906415
A906420,A906420
A906420,A922958
A906430,A906430
A906430,A960186
A906431,A906431
A906431,A908125
A906431,A942120
A906431,A954849
A906431,A972643
A906433,A906433
A906433,A919864
A906434,A906434
A906434,A943241
A906434,A945765
A906434,A952496
A906434,A956993
A906434,A974482
A906443,A906443
A906445,A906445
A906445,A915609
A906445,A932415
A906445,A953144
A906449,A906449
A906449,A932425
A906452,A906452
A906452,A952046
A906452,A967587
A906455,A906455
A906455,A924912
A906455,A926138
A906455,A943438
A906457,A906457
A906460,A906460
A906460,A921644
A906460,A941039
A906460,A961165
A906460,A965266
A906461,A906461
A906461,A987808
A906466,A906466
A906466,A931040
A906466,A978127
A906466,A992685
A906472,A906472
A906476,A906476
A906480,A906480
A906484,A906484
A906484,A942217
A906484,A977742
A906489,A906489
A906489,A907586
A906489,A962151
A906489,A973825
A906496,A906496
A906496,A918964
A906496,A920526
A906496,A930832
A906496,A936573
A906496,A948771
A906496,A952277
A906496,A972657
A906496,A975116
A906505,A906505
A906505,A909332
A906505,A938324
A906505,A945152
A906505,A965259
A906505,A975315
A906505,A979011
A906509,A906509
A906509,A914323
A906509,A920508
A906509,A930876
A906509,A944491
A906509,A951608
A906509,A955207
A906509,A964308
A906509,A971017
A906509,A978657
A906509,A982652
A906509,A986338
A906509,A988331
A906509,A989534
A906509,A998044
A906512,A906512
A906512,A941368
A906512,A957658
A906512,A960400
A906512,A975138
A906522,A906522
A906522,A909276
A906522,A955331
A906522,A981778
A906523,A906523
A906523,A957690
A906523,A977601
A906523,A998200
A906526,A906526
A906526,A909604
A906526,A921653
A906526,A942505
A906526,A963665
A906526,A963913
A906526,A984510
A906531,A906531
A906531,A916611
A906531,A923191
A906531,A949848
A906531,A952656
A906531,A960016
A906531,A965499
A906533,A906533
A906533,A939045
A906533,A968910
A906533,A975611
A906533,A984252
A906533,A988068
A906533,A998148
A906546,A906546
A906546,A923477
A906546,A939134
A906546,A945700
A906546,A957872
A906546,A960311
A906548,A906163
A906548,A906548
A906548,A907192
A906548,A922714
A906548,A927079
A906548,A954408
A906549,A906549
A906549,A911549
A906549,A931071
A906549,A949919
A906549,A970385
A906549,A972158
A906556,A906556
A906556,A911677
A906556,A919700
A906556,A930805
A906556,A959788
A906556,A969522
A906559,A906559
A906564,A906564
A906565,A906565
A906565,A953862
A906565,A956249
A906565,A965195
A906565,A969805
A906565,A982544
A906565,A988318
A906566,A906566
A906566,A922091
A906566,A942459
A906566,A986107
A906569,A906569
A906569,A939095
A906569,A974340
A906569,A984268
A906571,A906571
A906571,A930963
A906571,A937626
A906571,A955518
A906571,A971598
A906571,A975624
A906571,A991658
A906572,A906572
A906572,A943476
A906574,A906574
A906574,A962087
A906574,A975229
A906577,A906577
A906579,A906579
A906579,A937615
A906579,A962248
A906579,A981937
A906579,A985016
A906579,A989340
A906582,A906582
A906582,A941185
A906582,A998418
A906586,A906586
A906586,A931697
A906586,A935249
A906586,A959565
A906586,A966783
A906586,A976886
A906586,A989167
A906587,A906587
A906588,A906588
A906588,A992796
A906596,A906596
A906597,A906597
A906602,A906602
A906602,A908619
A906602,A913334
A906602,A915787
A906603,A906603
A906603,A943721
A906606,A906606
A906606,A922993
A906606,A967083
A906606,A973117
A906609,A906609
A906609,A934229
A906609,A978444
A906610,A906610
A906610,A926142
A906610,A950662
A906612,A906612
A906612,A912764
A906612,A925017
A906612,A927702
A906612,A929510
A906612,A932388
A906612,A971811
A906612,A972244
A906612,A974702
A906616,A906616
A906616,A959793
A906630,A906630
A906630,A938656
A906630,A940955
A906630,A942486
A906630,A964078
A906631,A906631
A906631,A996024
A906637,A906637
A906642,A906642
A906642,A963221
A906642,A983323
A906642,A986725
A906643,A906643
A906645,A906645
A906653,A906653
A906653,A966847
A906661,A906661
A906661,A946947
A906661,A987496
A906661,A996183
A906663,A906663
A906663,A963764
A906664,A906664
A906664,A940851
A906665,A906665
A906667,A906667
A906667,A917522
A906667,A963030
A906667,A998899
A906668,A906668
A906671,A906671
A906671,A954195
A906671,A960335
A906671,A971681
A906671,A981392
A906673,A906673
A906673,A912493
A906673,A928790
A906673,A931574
A906673,A957688
A906673,A990963
A906673,A994227
A906673,A997099
A906673,A998820
A906681,A906681
A906681,A953770
A906691,A906691
A906691,A913449
A906693,A906693
A906693,A925831
A906693,A939934
A906693,A944964
A906693,A946268
A906693,A961137
A906695,A906617
A906695,A906695
A906695,A911506
A906695,A954722
A906695,A964530
A906697,A906697
A906698,A906698
A906702,A906702
A906702,A931076
A906703,A906703
A906703,A926540
A906703,A927861
A906703,A985032
A906703,A997005
A906708,A906708
A906711,A906711
A906711,A936865
A906711,A980625
A906711,A983737
A906714,A906714
A906714,A954602
A906714,A967160
A906714,A967666
A906714,A992838
A906718,A906718
A906731,A906731
A906731,A959720
A906731,A962543
A906734,A906734
A906734,A927268
A906737,A906737
A906737,A947573
A906737,A956831
A906737,A977333
A906740,A906740
A906740,A918194
A906740,A930975
A906740,A968022
A906740,A981581
A906742,A906742
A906744,A906744
A906744,A913591
A906744,A927833
A906744,A931871
A906744,A963618
A906744,A993481
A906745,A906745
A906745,A950800
A906758,A906758
A906758,A957141
A906758,A974556
A906758,A977791
A906759,A906759
A906759,A928662
A906759,A933111
A906759,A954305
A906759,A968506
A906763,A906763
A906763,A953052
A906763,A959746
A906763,A982993
A906768,A906768
A906769,A906769
A906769,A936972
A906769,A952765
A906778,A906778
A906779,A906779
A906779,A940463
A906779,A979729
A906779,A986178
A906784,A906784
A906784,A938963
A906784,A963447
A906784,A986991
A906785,A906785
A906785,A922102
A906785,A960798
A906785,A986826
A906785,A992266
A906785,A996371
A906786,A906786
A906791,A906791
A906791,A909282
A906791,A939891
A906791,A946020
A906791,A947056
A906791,A954074
A906793,A906793
A906793,A929724
A906793,A969847
A906793,A970686
A906793,A973453
A906793,A990270
A906793,A997174
A906796,A906796
A906796,A987346
A906807,A906807
A906813,A906813
A906821,A906821
A906824,A906824
A906824,A940054
A906827,A906827
A906827,A941864
A906827,A953612
A906832,A906832
A906839,A906839
A906839,A955027
A906839,A982616
