tuple_id_1,tuple_id_2
A904759,A967426
A904761,A909700
A904761,A979721
A904763,A911411
A904763,A934521
A904763,A957894
A904763,A959925
A904763,A960448
A904763,A989596
A904763,A996602
A904764,A928660
A904764,A948494
A904764,A957994
A904764,A982393
A904764,A982958
A904765,A929976
A904765,A955851
A904765,A977875
A904765,A981474
A904766,A917800
A904766,A955094
A904768,A988568
A904769,A929247
A904769,A974105
A904770,A917919
A904770,A920105
A904770,A942169
A904770,A943616
A904770,A977758
A904770,A978434
A904770,A980003
A904770,A988704
A904771,A930500
A904771,A959513
A904771,A962618
A904772,A912166
A904772,A965863
A904772,A971424
A904773,A924684
A904773,A927512
A904773,A933986
A904773,A958974
A904773,A973166
A904773,A991447
A904774,A911486
A904774,A932412
A904774,A957698
A904775,A920231
A904775,A925428
A904775,A957246
A904775,A987010
A904777,A917883
A904777,A953798
A904777,A963070
A904780,A908406
A904780,A909486
A904780,A927205
A904780,A992974
A904781,A935509
A904781,A960828
A904781,A964959
A904781,A979360
A904781,A985743
A904783,A933954
A904783,A940554
A904783,A984202
A904783,A985585
A904784,A936282
A904787,A913813
A904787,A950953
A904787,A967278
A904787,A983107
A904788,A913067
A904788,A965165
A904790,A939073
A904792,A913347
A904792,A921361
A904792,A921395
A904792,A988544
A904792,A992942
A904793,A908998
A904793,A912158
A904793,A937015
A904793,A942755
A904793,A948103
A904794,A917163
A904794,A975190
A904794,A993395
A904795,A908057
A904795,A914357
A904795,A927090
A904795,A949398
A904795,A970077
A904795,A984592
A904796,A912711
A904796,A935909
A904796,A952394
A904796,A977782
A904796,A981152
A904796,A990197
A904798,A918845
A904798,A940240
A904798,A944755
A904798,A945737
A904798,A961365
A904798,A969409
A904798,A975824
A904799,A917251
A904799,A918785
A904799,A922626
A904799,A922785
A904799,A979756
A904799,A993228
A904800,A958068
A904800,A981230
A904801,A914851
A904801,A948693
A904801,A988413
A904802,A936266
A904802,A962279
A904802,A979027
A904803,A952084
A904803,A956196
A904804,A974594
A904804,A980786
A904804,A995672
A904807,A975424
A904807,A989377
A904808,A913726
A904808,A980910
A904809,A941975
A904809,A961544
A904810,A985789
A904811,A964831
A904811,A971061
A904812,A918015
A904812,A959829
A904812,A964981
A904813,A936686
A904813,A943236
A904813,A989889
A904814,A905253
A904814,A931120
A904814,A976091
A904814,A992448
A904816,A909542
A904816,A912403
A904816,A926025
A904816,A988237
A904816,A994543
A904816,A995964
A904817,A958047
A904819,A908839
A904819,A972944
A904820,A915117
A904820,A923691
A904820,A931088
A904820,A936964
A904820,A958638
A904820,A969410
A904820,A984222
A904820,A994667
A904821,A908130
A904821,A934096
A904821,A950014
A904821,A965829
A904821,A967400
A904821,A974991
A904821,A980343
A904821,A996087
A904822,A923744
A904822,A968387
A904822,A976226
A904822,A985651
A904823,A908309
A904823,A917669
A904823,A956054
A904823,A957756
A904823,A970351
A904823,A973379
A904823,A980954
A904823,A992114
A904824,A927704
A904825,A938794
A904825,A975404
A904826,A977840
A904830,A912623
A904830,A917243
A904830,A920991
A904830,A936891
A904830,A945832
A904830,A959297
A904830,A961330
A904830,A976834
A904830,A996154
A904832,A973700
A904832,A994314
A904833,A904929
A904833,A981734
A904833,A989774
A904833,A994192
A904834,A925169
A904834,A931942
A904834,A970495
A904834,A980906
A904835,A911151
A904835,A974076
A904836,A956289
A904836,A974354
A904837,A914578
A904837,A938879
A904837,A939533
A904837,A946850
A904837,A988628
A904838,A908374
A904838,A915475
A904838,A952226
A904838,A962808
A904838,A981320
A904838,A994299
A904839,A912692
A904839,A994686
A904840,A954251
A904840,A997880
A904843,A907893
A904843,A919038
A904843,A923550
A904843,A947712
A904843,A952716
A904843,A963595
A904843,A980856
A904845,A908983
A904845,A919558
A904847,A908046
A904847,A975426
A904848,A912083
A904848,A931639
A904848,A931902
A904848,A950095
A904849,A944176
A904849,A996859
A904851,A906337
A904851,A920393
A904851,A960981
A904851,A979017
A904854,A913277
A904854,A929796
A904854,A945915
A904855,A918051
A904855,A926927
A904855,A959431
A904857,A913343
A904857,A914602
A904858,A906511
A904858,A914067
A904858,A916432
A904859,A905923
A904859,A918040
A904859,A932942
A904859,A937515
A904859,A983015
A904860,A924540
A904860,A927290
A904860,A947957
A904860,A951981
A904861,A967920
A904861,A973853
A904861,A982285
A904862,A944911
A904862,A948575
A904864,A906153
A904864,A974970
A904864,A990957
A904865,A975357
A904866,A927399
A904866,A952170
A904866,A965853
A904867,A989995
A904869,A925930
A904870,A907953
A904870,A915651
A904870,A917635
A904871,A983561
A904871,A985590
A904873,A972411
A904877,A912789
A904877,A922045
A904877,A941210
A904878,A928516
A904880,A944871
A904887,A930262
A904887,A947637
A904887,A974139
A904887,A998420
A904889,A913109
A904889,A955742
A904889,A974248
A904891,A921400
A904891,A950476
A904891,A981206
A904891,A989032
A904891,A996536
A904893,A940190
A904894,A942831
A904894,A974535
A904896,A935840
A904896,A938480
A904896,A994719
A904897,A919231
A904897,A972354
A904897,A984145
A904899,A908734
A904899,A910705
A904899,A943606
A904900,A971536
A904900,A975771
A904902,A934468
A904902,A966673
A904902,A974047
A904902,A981691
A904902,A995549
A904903,A909016
A904903,A917583
A904903,A928711
A904903,A939669
A904903,A942747
A904903,A977769
A904903,A986190
A904905,A923990
A904905,A974473
A904907,A963086
A904907,A991492
A904907,A992688
A904907,A998406
A904909,A964392
A904909,A976525
A904911,A943004
A904911,A949241
A904911,A951587
A904911,A983072
A904912,A952111
A904912,A960133
A904913,A986948
A904914,A942206
A904914,A963347
A904916,A947963
A904917,A929757
A904917,A956464
A904917,A997699
A904918,A989941
A904919,A908513
A904919,A943626
A904919,A988525
A904920,A947530
A904920,A951856
A904920,A952796
A904920,A992854
A904921,A916382
A904923,A958124
A904923,A989500
A904923,A990175
A904923,A993337
A904924,A930880
A904924,A963413
A904924,A990236
A904925,A954514
A904925,A984436
A904925,A998197
A904926,A919298
A904926,A934426
A904926,A979136
A904927,A926077
A904927,A932895
A904928,A978742
A904929,A981734
A904929,A989774
A904929,A994192
A904931,A985676
A904932,A961826
A904933,A934065
A904933,A952323
A904933,A986034
A904934,A914790
A904934,A917979
A904934,A939820
A904934,A943659
A904934,A952900
A904934,A971593
A904934,A997241
A904937,A925520
A904937,A929840
A904937,A944986
A904938,A917777
A904938,A927976
A904938,A955911
A904938,A972510
A904938,A998108
A904941,A948297
A904941,A988673
A904941,A989128
A904942,A907321
A904942,A918011
A904942,A960891
A904943,A925015
A904943,A988520
A904943,A989938
A904943,A995665
A904944,A994597
A904945,A922900
A904945,A924205
A904945,A936612
A904945,A971994
A904947,A929426
A904947,A969426
A904947,A976831
A904947,A988022
A904948,A913300
A904948,A920715
A904949,A918524
A904949,A958001
A904949,A959363
A904953,A913791
A904953,A972702
A904955,A979292
A904956,A918475
A904956,A928701
A904956,A930796
A904956,A934486
A904956,A996900
A904959,A914268
A904959,A958305
A904959,A988441
A904960,A920358
A904960,A939164
A904961,A916597
A904961,A931453
A904961,A931821
A904961,A948378
A904961,A953986
A904961,A989056
A904963,A910741
A904963,A931365
A904963,A933714
A904963,A941678
A904963,A982408
A904963,A989004
A904964,A951237
A904964,A965633
A904964,A968088
A904964,A972838
A904964,A993196
A904965,A929475
A904965,A944514
A904965,A965821
A904965,A972741
A904965,A991434
A904966,A941743
A904967,A940228
A904968,A917042
A904968,A918466
A904968,A933334
A904968,A964306
A904968,A965591
A904969,A962137
A904969,A971427
A904969,A992590
A904969,A997456
A904970,A912790
A904970,A938198
A904970,A952517
A904972,A928743
A904972,A954069
A904975,A906253
A904975,A967096
A904975,A992608
A904976,A910170
A904976,A945343
A904976,A951381
A904976,A989182
A904978,A927881
A904978,A933306
A904978,A933895
A904978,A938998
A904978,A955354
A904978,A960358
A904978,A980104
A904980,A940328
A904982,A951166
A904983,A923461
A904983,A957238
A904983,A957575
A904984,A927856
A904985,A925541
A904988,A911946
A904988,A935586
A904988,A936273
A904988,A955338
A904988,A989180
A904994,A914984
A904994,A959791
A904994,A968782
A904994,A972248
A904995,A910149
A904995,A955659
A904995,A991483
A904997,A933222
A904997,A946356
A904997,A950371
A904998,A921508
A904999,A933876
A904999,A938431
A904999,A947064
A904999,A984028
A905000,A939596
A905000,A951514
A905001,A925108
A905001,A941543
A905001,A969820
A905001,A976514
A905003,A962849
A905004,A956449
A905004,A966009
A905004,A968855
A905004,A977387
A905004,A978324
A905004,A996599
A905006,A914618
A905006,A946200
A905006,A964663
A905006,A964976
A905006,A971789
A905006,A976142
A905007,A920667
A905007,A931340
A905007,A954290
A905007,A972455
A905007,A988250
A905008,A916282
A905008,A916529
A905008,A931785
A905008,A939136
A905008,A944801
A905008,A958077
A905008,A958819
A905008,A958952
A905008,A972525
A905009,A918121
A905009,A928120
A905010,A905320
A905010,A920464
A905010,A936202
A905010,A943916
A905010,A965512
A905010,A981976
A905013,A957680
A905013,A966798
A905017,A925036
A905017,A929090
A905017,A972445
A905017,A989077
A905018,A912632
A905018,A915896
A905018,A979004
A905018,A987970
A905019,A940700
A905020,A911406
A905020,A921259
A905020,A938527
A905020,A951035
A905020,A979345
A905021,A916399
A905021,A959318
A905021,A991449
A905022,A936497
A905022,A948323
A905022,A960600
A905022,A991329
A905023,A907213
A905023,A945244
A905023,A962045
A905023,A964408
A905023,A975158
A905023,A994051
A905024,A946970
A905027,A930881
A905027,A958826
A905029,A922899
A905031,A906368
A905031,A992853
A905031,A995463
A905033,A907142
A905033,A921798
A905033,A929813
A905033,A955401
A905033,A973780
A905033,A993840
A905033,A996589
A905034,A909136
A905034,A961611
A905034,A991725
A905035,A908500
A905035,A922949
A905035,A968550
A905035,A970354
A905036,A924612
A905036,A964725
A905036,A971139
A905036,A977080
A905036,A985836
A905039,A914229
A905040,A906108
A905040,A915071
A905040,A938755
A905040,A948305
A905040,A986294
A905042,A988048
A905042,A994366
A905043,A970314
A905043,A977505
A905045,A908920
A905045,A976636
A905045,A988793
A905048,A906399
A905048,A917015
A905048,A929274
A905048,A933805
A905048,A987851
A905049,A951880
A905050,A921480
A905050,A948030
A905050,A949571
A905051,A940972
A905051,A941303
A905052,A941217
A905052,A952635
A905052,A965498
A905052,A992450
A905053,A978891
A905054,A913646
A905054,A937701
A905054,A948571
A905054,A952955
A905055,A961371
A905055,A987686
A905057,A915494
A905059,A917543
A905059,A957527
A905059,A970716
A905059,A975907
A905062,A962015
A905062,A986446
A905063,A912173
A905063,A970940
A905063,A984736
A905064,A927270
A905066,A910581
A905066,A940627
A905066,A966329
A905068,A992736
A905069,A909852
A905069,A918318
A905069,A921161
A905069,A930392
A905069,A943372
A905070,A993887
A905072,A964486
A905072,A967057
A905072,A983918
A905072,A998573
A905074,A936760
A905074,A941327
A905074,A971324
A905074,A988583
A905074,A988900
A905075,A915085
A905076,A922532
A905076,A949966
A905076,A988202
A905076,A992375
A905077,A912729
A905077,A971397
A905077,A981998
A905082,A910879
A905082,A924630
A905082,A937004
A905082,A956140
A905082,A958364
A905082,A979686
A905083,A928297
A905083,A951637
A905083,A954839
A905083,A968758
A905083,A969954
A905083,A981912
A905083,A983103
A905084,A911092
A905086,A932100
A905086,A932664
A905087,A909966
A905087,A914879
A905087,A927263
A905087,A954649
A905088,A914203
A905088,A941818
A905088,A952928
A905088,A992307
A905090,A930186
A905090,A943645
A905091,A907387
A905091,A938319
A905091,A992293
A905094,A906088
A905094,A913683
A905094,A917510
A905094,A925054
A905094,A936537
A905094,A948176
A905094,A978155
A905095,A912691
A905095,A919008
A905095,A922755
A905095,A960523
A905095,A960887
A905095,A981892
A905097,A918212
A905097,A931693
A905097,A949253
A905097,A954973
A905097,A961479
A905097,A963197
A905097,A964377
A905097,A965602
A905097,A973519
A905097,A989538
A905097,A996816
A905098,A913321
A905098,A922360
A905098,A923474
A905098,A929317
A905098,A937883
A905098,A939093
A905098,A939213
A905098,A979390
A905100,A931843
A905101,A936424
A905102,A938218
A905102,A958530
A905102,A961990
A905102,A984865
A905102,A987777
A905102,A991198
A905105,A936615
A905106,A934607
A905106,A989144
A905109,A935453
A905109,A967662
A905109,A968061
A905111,A934042
A905111,A978602
A905111,A987793
A905111,A989735
A905112,A964578
A905112,A967405
A905112,A974246
A905113,A912176
A905113,A969450
A905113,A988198
A905114,A946808
A905114,A970644
A905114,A998453
A905115,A933892
A905115,A935150
A905115,A950007
A905115,A955008
A905116,A947354
A905117,A959528
A905117,A962677
A905117,A978377
A905117,A981171
A905117,A995667
A905119,A918409
A905119,A936503
A905119,A938322
A905119,A975371
A905119,A979960
A905119,A984305
A905119,A987494
A905119,A994739
A905121,A936813
A905121,A949836
A905121,A964702
A905121,A971532
A905121,A991047
A905123,A909022
A905123,A991393
A905124,A919074
A905124,A934801
A905124,A973694
A905124,A989910
A905125,A913159
A905125,A917403
A905125,A930763
A905125,A987984
A905125,A990217
A905126,A925836
A905126,A971183
A905128,A927900
A905128,A928411
A905128,A951751
A905128,A960701
A905128,A994517
A905128,A994531
A905130,A908087
A905130,A921483
A905130,A935930
A905130,A961994
A905130,A992156
A905132,A959355
A905132,A961802
A905132,A987704
A905132,A995102
A905133,A927055
A905133,A933378
A905133,A983490
A905134,A916304
A905134,A950368
A905134,A958476
A905134,A993584
A905135,A916381
A905135,A932967
A905135,A955246
A905135,A974721
A905138,A983047
A905139,A907072
A905139,A916700
A905139,A957229
A905139,A968548
A905139,A981190
A905139,A993444
A905141,A953216
A905141,A983372
A905141,A996606
A905142,A954088
A905142,A987864
A905143,A910814
A905143,A912944
A905143,A932210
A905143,A936560
A905143,A937560
A905143,A961185
A905143,A969361
A905144,A911949
A905144,A980768
A905145,A920156
A905145,A921190
A905145,A928201
A905145,A954081
A905145,A960759
A905145,A998582
A905147,A952200
A905147,A964845
A905150,A908830
A905150,A915683
A905150,A927935
A905150,A989124
A905154,A929528
A905154,A940864
A905158,A954348
A905159,A908849
A905159,A913689
A905159,A915798
A905159,A924034
A905159,A933813
A905159,A936444
A905160,A908367
A905160,A916712
A905160,A922763
A905160,A996431
A905161,A906081
A905161,A920680
A905161,A927887
A905161,A990241
A905162,A912605
A905162,A913864
A905162,A933417
A905162,A943628
A905162,A956593
A905162,A959263
A905162,A996862
A905163,A923558
A905163,A953947
A905163,A963315
A905163,A994356
A905164,A934303
A905164,A943066
A905164,A945128
A905164,A978341
A905164,A980466
A905165,A921234
A905165,A938967
A905165,A950158
A905165,A952889
A905165,A957626
A905165,A961973
A905165,A969053
A905165,A995547
A905166,A933296
A905166,A961616
A905167,A907343
A905167,A918670
A905167,A970127
A905168,A908709
A905168,A913730
A905168,A933011
A905168,A976158
A905168,A996813
A905169,A917745
A905169,A944686
A905169,A980290
A905171,A963302
A905171,A964710
A905171,A992122
A905172,A913196
A905172,A977953
A905173,A914944
A905173,A940488
A905175,A937288
A905175,A943087
A905175,A959239
A905176,A917462
A905176,A953186
A905176,A954929
A905178,A910860
A905178,A923158
A905178,A938898
A905178,A943849
A905178,A988968
A905179,A920756
A905179,A931822
A905179,A961114
A905179,A966452
A905179,A979836
A905179,A988494
A905180,A911313
A905182,A914971
A905182,A917974
A905182,A949257
A905182,A950888
A905182,A971602
A905183,A994678
A905184,A920654
A905185,A920035
A905185,A980042
A905185,A987019
A905186,A935440
A905186,A942015
A905186,A968864
A905186,A984454
A905187,A932550
A905189,A925471
A905189,A955426
A905190,A908674
A905190,A930793
A905190,A955864
A905190,A978637
A905191,A937548
A905192,A925833
A905192,A940639
A905192,A941603
A905192,A960176
A905192,A960996
A905193,A962456
A905196,A959699
A905197,A909484
A905197,A947143
A905197,A950957
A905197,A968999
A905197,A987753
A905202,A923683
A905202,A936901
A905202,A977277
A905203,A915500
A905204,A996516
A905205,A917278
A905207,A924593
A905207,A926636
A905207,A944438
A905209,A912200
A905209,A959403
A905211,A957937
A905211,A970019
A905212,A936997
A905212,A956088
A905212,A962001
A905212,A990042
A905213,A996566
A905214,A932651
A905214,A950754
A905214,A976283
A905216,A950874
A905216,A982430
A905216,A985296
A905218,A929245
A905218,A933281
A905218,A936945
A905219,A916750
A905219,A918070
A905219,A935237
A905219,A967566
A905219,A973487
A905219,A990288
A905220,A987825
A905222,A930855
A905222,A931483
A905223,A982030
A905224,A928471
A905224,A936917
A905224,A943832
A905224,A943966
A905224,A964621
A905224,A968068
A905224,A985819
A905225,A906746
A905225,A944876
A905225,A981422
A905226,A961015
A905226,A972836
A905227,A958788
A905227,A975697
A905227,A988804
A905227,A997124
A905229,A920022
A905229,A928274
A905230,A920871
A905230,A950102
A905230,A951370
A905231,A916057
A905231,A945521
A905235,A964732
A905236,A985005
A905237,A907569
A905237,A909369
A905237,A915469
A905238,A906716
A905238,A953800
A905238,A956808
A905240,A921845
A905240,A926603
A905240,A943647
A905241,A930420
A905241,A930470
A905241,A934565
A905241,A940726
A905241,A941751
A905241,A948006
A905241,A977607
A905241,A994787
A905242,A919493
A905242,A925693
A905242,A940425
A905242,A946645
A905242,A956488
A905242,A973964
A905243,A905762
A905243,A936798
A905243,A948696
A905244,A916923
A905244,A921679
A905244,A944382
A905244,A981477
A905246,A905921
A905246,A921086
A905246,A924812
A905246,A966430
A905246,A985771
A905247,A908000
A905247,A913596
A905247,A917713
A905249,A909071
A905249,A932048
A905249,A956353
A905249,A965551
A905249,A982434
A905250,A915360
A905251,A934967
A905251,A936251
A905251,A954710
A905251,A986540
A905251,A991177
A905253,A931120
A905253,A976091
A905253,A992448
A905254,A945643
A905254,A952823
A905254,A972285
A905255,A976238
A905255,A981566
A905256,A919121
A905256,A963985
A905256,A969201
A905256,A976449
A905257,A919132
A905257,A970920
A905257,A978525
A905258,A914227
A905258,A924607
A905258,A960339
A905258,A973779
A905258,A988099
A905258,A989793
A905260,A974310
A905262,A908599
A905262,A924441
A905263,A931445
A905263,A945186
A905263,A949900
A905263,A954487
A905263,A964207
A905263,A971114
A905264,A985549
A905265,A929867
A905265,A933172
A905265,A950139
A905265,A979889
A905269,A915854
A905269,A918717
A905269,A918862
A905269,A943075
A905269,A948815
A905269,A955418
A905269,A965210
A905269,A968994
A905269,A974308
A905270,A969118
A905270,A969760
A905270,A989162
A905270,A994605
A905272,A959109
A905273,A933385
A905273,A935982
A905273,A956267
A905273,A977898
A905275,A927044
A905276,A906837
A905276,A919980
A905276,A937403
A905276,A946646
A905276,A991916
A905277,A982951
A905277,A985255
A905278,A929383
A905278,A931450
A905280,A925719
A905281,A968911
A905281,A972296
A905283,A967805
A905284,A942788
A905284,A963801
A905285,A908368
A905285,A922890
A905286,A912511
A905286,A916719
A905286,A917975
A905286,A964988
A905286,A980006
A905286,A991891
A905287,A922596
A905287,A966649
A905287,A978070
A905287,A996698
A905288,A935329
A905288,A953784
A905288,A968482
A905290,A920345
A905290,A964512
A905290,A989911
A905291,A955488
A905292,A924877
A905292,A964573
A905292,A965834
A905292,A970348
A905294,A909711
A905294,A936903
A905294,A971295
A905294,A975637
A905295,A937642
A905295,A941180
A905295,A947331
A905295,A964948
A905295,A972410
A905296,A922431
A905296,A939636
A905296,A953029
A905298,A973916
A905299,A907485
A905299,A943547
A905299,A948467
A905299,A962881
A905299,A975264
A905300,A930686
A905300,A932203
A905300,A942122
A905300,A982948
A905300,A990900
A905302,A905473
A905302,A918224
A905302,A981304
A905302,A995368
A905303,A981649
A905304,A956301
A905305,A917073
A905305,A954002
A905305,A991340
A905306,A937057
A905307,A984273
A905308,A938658
A905308,A945272
A905308,A957259
A905308,A965795
A905308,A982791
A905308,A992365
A905310,A942052
A905310,A950621
A905310,A966727
A905311,A913877
A905311,A914953
A905311,A920087
A905311,A930683
A905311,A992765
A905312,A908771
A905312,A927855
A905312,A997837
A905315,A906860
A905316,A937267
A905316,A954913
A905317,A914747
A905317,A927978
A905317,A990478
A905318,A983522
A905319,A925948
A905319,A934993
A905319,A947575
A905319,A987322
A905320,A920464
A905320,A936202
A905320,A943916
A905321,A922352
A905321,A957091
A905321,A959420
A905321,A972644
A905321,A973777
A905321,A978185
A905321,A995614
A905322,A905968
A905322,A915470
A905322,A960735
A905322,A961027
A905322,A987024
A905323,A919022
A905323,A927175
A905323,A954651
A905323,A985821
A905323,A986376
A905323,A992457
A905324,A955558
A905324,A962098
A905325,A938725
A905326,A951464
A905326,A962433
A905326,A981560
A905329,A906815
A905329,A920356
A905329,A950171
A905329,A974956
A905330,A971125
A905331,A911479
A905331,A914555
A905331,A915170
A905331,A916896
A905331,A935756
A905331,A936625
A905331,A960091
A905331,A998581
A905332,A934882
A905332,A980726
A905334,A947830
A905334,A956986
A905334,A970085
A905334,A991043
A905335,A925009
A905335,A931364
A905335,A935132
A905335,A958272
A905335,A971442
A905336,A911487
A905336,A915142
A905336,A933397
A905336,A959443
A905336,A967418
A905338,A911538
A905338,A930401
A905338,A947146
A905339,A984970
A905343,A963994
A905343,A968739
A905344,A936695
A905344,A977590
A905344,A981503
A905344,A988498
A905344,A993717
A905346,A960125
A905346,A965594
A905346,A981861
A905346,A983890
A905349,A926375
A905349,A929669
A905349,A938617
A905349,A955977
A905349,A960928
A905349,A969245
A905349,A978830
A905349,A988246
A905349,A996043
A905351,A942609
A905351,A950580
A905351,A982829
A905351,A986951
A905352,A916832
A905352,A920064
A905352,A933084
A905352,A935942
A905352,A963571
A905353,A978173
A905354,A911050
A905354,A955000
A905355,A936761
A905358,A951557
A905358,A970056
A905358,A991810
A905359,A970795
A905360,A912336
A905360,A973369
A905361,A958074
A905361,A984299
A905361,A986152
A905362,A941057
A905367,A949526
A905368,A917386
A905368,A933183
A905368,A994603
A905369,A930508
A905370,A978299
A905370,A987658
A905371,A923115
A905371,A928780
A905371,A972329
A905373,A994855
A905373,A998377
A905375,A926559
A905375,A940394
A905375,A957703
A905375,A959942
A905375,A965832
A905376,A977023
A905378,A975231
A905378,A996598
A905379,A953443
A905379,A991547
A905380,A908503
A905380,A926661
A905380,A930941
A905380,A947117
A905381,A917333
A905381,A926958
A905381,A941197
A905381,A977373
A905383,A933868
A905383,A977914
A905383,A991550
A905385,A907211
A905385,A909915
A905385,A959249
A905385,A975802
A905385,A983571
A905385,A997202
A905386,A926756
A905386,A945929
A905386,A948755
A905386,A970754
A905387,A922927
A905387,A964424
A905387,A982155
A905388,A913578
A905388,A916388
A905388,A945281
A905388,A955594
A905390,A977895
A905390,A984859
A905391,A914889
A905391,A965786
A905391,A972101
A905391,A979545
A905391,A984314
A905391,A985376
A905391,A985765
A905391,A987675
A905394,A908076
A905394,A934203
A905394,A983627
A905395,A931986
A905395,A950633
A905395,A977958
A905395,A987883
A905395,A997672
A905396,A929764
A905396,A933861
A905396,A970272
A905398,A913299
A905398,A931813
A905398,A937889
A905398,A940370
A905399,A966851
A905400,A932260
A905401,A910546
A905401,A912021
A905401,A927720
A905401,A940543
A905401,A966996
A905401,A974001
A905401,A977095
A905402,A916911
A905402,A923498
A905402,A930889
A905402,A934167
A905402,A976294
A905404,A937983
A905404,A947237
A905404,A947299
A905405,A912245
A905405,A955569
A905406,A970083
A905406,A994879
A905407,A912223
A905407,A952661
A905408,A931197
A905408,A941749
A905409,A991991
A905409,A992776
A905411,A967092
A905411,A982441
A905412,A951046
A905412,A954924
A905412,A973709
A905412,A979943
A905413,A908091
A905413,A939003
A905413,A959083
A905413,A964934
A905413,A980527
A905414,A948582
A905414,A962630
A905414,A975965
A905415,A959851
A905416,A908161
A905416,A939528
A905416,A981383
A905417,A909776
A905417,A927853
A905417,A929410
A905417,A930477
A905417,A951200
A905418,A939251
A905418,A947874
A905418,A991641
A905419,A918241
A905420,A970500
A905420,A986575
A905420,A989226
A905421,A906801
A905421,A963025
A905422,A982185
A905422,A986171
A905422,A997239
A905423,A980538
A905424,A918654
A905424,A949739
A905424,A953812
A905424,A978579
A905424,A982893
A905424,A985894
A905425,A974260
A905425,A984087
A905425,A994921
A905426,A961790
A905426,A962814
A905426,A979652
A905427,A972728
A905427,A978916
A905428,A913072
A905428,A920840
A905428,A926459
A905428,A931078
A905428,A946988
A905428,A974181
A905428,A974771
A905428,A978829
A905428,A995642
A905429,A908675
A905429,A916220
A905429,A934382
A905429,A963379
A905429,A988865
A905431,A914663
A905431,A923050
A905431,A929504
A905431,A937218
A905431,A942039
A905431,A942070
A905431,A977845
A905432,A935631
A905432,A954353
A905432,A968923
A905434,A949495
A905434,A989114
A905438,A933232
A905438,A948590
A905441,A929576
A905441,A940093
A905441,A940348
A905441,A964042
A905441,A976047
A905441,A989520
A905441,A990800
A905443,A934358
A905443,A953314
A905443,A978285
A905443,A984924
A905444,A930193
A905444,A952620
A905444,A960069
A905444,A964467
A905444,A978376
A905444,A993687
A905445,A911824
A905445,A920605
A905445,A953358
A905445,A993043
A905448,A933386
A905448,A959051
A905448,A960804
A905450,A921675
A905450,A935603
A905450,A985985
A905450,A992678
A905452,A910893
A905452,A929295
A905452,A934745
A905452,A958031
A905452,A961958
A905452,A968377
A905452,A979099
A905453,A905541
A905453,A940207
A905453,A942126
A905453,A958918
A905453,A989686
A905454,A929860
A905454,A939744
A905455,A917780
A905455,A994199
A905457,A905767
A905457,A978653
A905458,A927781
A905458,A949806
A905458,A962164
A905458,A967315
A905463,A949983
A905463,A953450
A905465,A965968
A905465,A971478
A905465,A995926
A905466,A908469
A905466,A909465
A905466,A919697
A905466,A955312
A905468,A908697
A905468,A953315
A905468,A995590
A905469,A908479
A905469,A965917
A905469,A983152
A905470,A927817
A905470,A959501
A905470,A974332
A905470,A975383
A905471,A910349
A905471,A941098
A905472,A987871
A905473,A918224
A905473,A981304
A905473,A995368
A905474,A921465
A905475,A908533
A905475,A920814
A905475,A949521
A905475,A984876
A905477,A929693
A905477,A930192
A905477,A936536
A905477,A970194
A905477,A971964
A905478,A957408
A905480,A924946
A905480,A930025
A905480,A998842
A905485,A906914
A905485,A909112
A905485,A937752
A905485,A977922
A905485,A989699
A905486,A936952
